2025-08-23 13:00:27,638:INFO:Device: cuda
2025-08-23 13:08:51,745:INFO:Epoch 5450: Train Loss: 0.0007, Val Loss: 0.0029, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:55,495:INFO:Epoch 5500: Train Loss: 0.0007, Val Loss: 0.0029, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:06,534:INFO:Epoch 5550: Train Loss: 0.0007, Val Loss: 0.0030, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:10,493:INFO:Epoch 5600: Train Loss: 0.0006, Val Loss: 0.0030, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:14,262:INFO:Epoch 5650: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:25,505:INFO:Epoch 5700: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:29,339:INFO:Epoch 5750: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:33,245:INFO:Epoch 5800: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:37,093:INFO:Epoch 5850: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:40,921:INFO:Epoch 5900: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:44,884:INFO:Epoch 5950: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:48,724:INFO:Epoch 6000: Train Loss: 0.0006, Val Loss: 0.0028, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:52,592:INFO:Epoch 6050: Train Loss: 0.0006, Val Loss: 0.0028, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:09:56,436:INFO:Epoch 6100: Train Loss: 0.0006, Val Loss: 0.0028, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:10:00,287:INFO:Epoch 6150: Train Loss: 0.0006, Val Loss: 0.0028, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:10:04,153:INFO:Epoch 6200: Train Loss: 0.0006, Val Loss: 0.0028, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:10:15,488:INFO:Epoch 6250: Train Loss: 0.0006, Val Loss: 0.0028, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:10:19,277:INFO:Epoch 6300: Train Loss: 0.0006, Val Loss: 0.0029, Dyn Loss: 0.0006, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:10:23,151:INFO:Epoch 6350: Train Loss: 0.0005, Val Loss: 0.0028, Dyn Loss: 0.0005, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:10:27,044:INFO:Epoch 6400: Train Loss: 0.0005, Val Loss: 0.0028, Dyn Loss: 0.0005, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:10:30,944:INFO:Epoch 6450: Train Loss: 0.0005, Val Loss: 0.0027, Dyn Loss: 0.0005, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
